day,index
1,1142
2,1137
3,1135
4,1132
5,1137
6,1141
7,1148
8,1144
9,1145
10,1141
11,1140
12,1142
13,1138
14,1136
15,1141
16,1144
17,1142
18,1146
19,1152
20,1148
21,1154
22,1158
23,1157
24,1154
25,1161
26,1160
27,1155
28,1150
29,1155
30,1156
31,1160
32,1163
33,1162
34,1168
35,1165
36,1164
37,1167
38,1167
39,1171
40,1170
41,1171
42,1163
43,1157
44,1152
45,1145
46,1139
47,1132
48,1127
49,1128
50,1125
51,1122
52,1117
53,1113
54,1119
55,1121
56,1123
57,1119
58,1122
59,1119
60,1118
61,1126
62,1130
63,1132
64,1137
65,1144
66,1150
67,1148
68,1144
69,1144
70,1143
71,1142
72,1150
73,1158
74,1158
75,1162
76,1163
77,1171
78,1172
79,1170
80,1168
81,1170
82,1168
83,1170
84,1176
85,1175
86,1171
87,1178
88,1177
89,1171
90,1164
91,1157
92,1158
93,1160
94,1158
95,1150
96,1146
97,1151
98,1150
99,1155
100,1158
101,1149
102,1150
103,1151
104,1150
105,1146
106,1146
107,1140
108,1138
109,1137
110,1143
111,1148
112,1144
113,1145
114,1141
115,1147
116,1153
117,1152
118,1155
119,1158
120,1155
121,1161
122,1164
123,1170
124,1173
125,1168
126,1168
127,1164
128,1172
129,1180
130,1187
131,1187
132,1183
133,1190
134,1198
135,1194
136,1196
137,1191
138,1196
139,1200
140,1196
141,1196
142,1196
143,1193
144,1198
145,1196
146,1192
147,1191
148,1193
149,1188
150,1183
151,1189
152,1189
153,1186
154,1185
155,1178
156,1172
157,1168
158,1167
159,1162
160,1156
161,1149
162,1149
163,1144
164,1149
165,1153
166,1146
167,1142
168,1145
169,1141
170,1136
171,1143
172,1145
173,1145
174,1151
175,1157
176,1154
177,1150
178,1151
179,1152
180,1154
